body_id,name,segment,county,schools,enrollment,website,coverage_level,blocker_code,platform,board_page_url,own_site_doc_links,expected_meetings_per_year,docs_count,last_checked,last_success,manual_notes
NCES-3603840,Baldwin Union Free School District,LI school districts,Nassau,7,4476,http://www.baldwinschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/baldwinschools/Board.nsf/files/DLJRW86D04A6/$file/Highlights%20From%20the%20Summer%20%20EOY%20Results%20from%202024-2025%20SY%20Summer%202025.pdf,3,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3604410,Bellmore Union Free School District,LI school districts,Nassau,3,1080,http://www.bellmoreschools.org,3,,PDFs on own site,https://www.bellmoreschools.org/documents/district/board-of-education/agendas-and-minutes/2025-26/21433411,,,0,2026-09-20,,"Resolved by browser render 2026-09-20, 28 doc links on page"
NCES-3619020,Bellmore-Merrick Central High School District,LI school districts,Nassau,5,5243,http://www.bellmore-merrick.k12.ny.us,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/bellmoremerrick/Board.nsf/vpublic?open,17,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 17 agenda/minutes links. Check if they are current.
NCES-3604740,Bethpage Union Free School District,LI school districts,Nassau,5,2990,http://www.bethpagecommunity.com,3,,Google Drive links,https://www.bethpagecommunity.com/page/board-of-ed,,,0,2026-09-20,,
NCES-3606540,Carle Place Union Free School District,LI school districts,Nassau,3,1264,http://www.cps.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3609840,East Meadow Union Free School District,LI school districts,Nassau,9,7802,https://eastmeadowschoolsny.sites.thrillshare.com,2,PLATFORM_URL_MISSING,BoardDocs,https://eastmeadowschoolsny.sites.thrillshare.com/page/board-of-education,,,0,2026-09-20,,"Found by web search 2026-09-20. Registry URL is dead, district moved sites. Board page states BoardDocs is used. BoardDocs address not yet captured"
NCES-3609960,East Rockaway Union Free School District,LI school districts,Nassau,3,1153,http://www.eastrockawayschools.org,3,,PDFs on own site,https://www.eastrockawayschools.org/agendas,,,0,2026-09-20,,
NCES-3610050,East Williston Union Free School District,LI school districts,Nassau,3,1609,http://www.ewsdonline.org,1,ROBOTS_DISALLOW,,,,,0,2026-09-20,,
NCES-3610620,Elmont Union Free School District,LI school districts,Nassau,6,3394,http://www.elmontschools.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/elmont/Board.nsf/files/DTURJX6E48E8/$file/April,175,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 175 agenda/minutes links. Check if they are current.
NCES-3610980,Farmingdale Union Free School District,LI school districts,Nassau,6,5251,http://www.farmingdaleschools.org,3,,Google Drive links,https://www.farmingdaleschools.org/boe-goals,,,0,2026-09-20,,
NCES-3611160,Floral Park-Bellerose Union Free School District,LI school districts,Nassau,2,1597,http://www.fpbsd.org,1,ROBOTS_DISALLOW,,,,,0,2026-09-20,,
