body_id,name,segment,county,schools,enrollment,website,coverage_level,blocker_code,platform,board_page_url,own_site_doc_links,expected_meetings_per_year,docs_count,last_checked,last_success,manual_notes,is_dependent
COG-100001,COUNTY OF AUTAUGA,AL County,AUTAUGA,,,http://www.autaugaco.org,0,,,,,,,,,"Census 2022 County, pop 59095",False
COG-160514,COUNTY OF BALDWIN,AL County,BALDWIN,,,http://www.baldwincountyal.gov,0,,,,,,,,,"Census 2022 County, pop 239294",False
COG-189541,COUNTY OF BARBOUR,AL County,BARBOUR,,,,0,,,,,,,,,"Census 2022 County, pop 24964",False
COG-183723,COUNTY OF BIBB,AL County,BIBB,,,,0,,,,,,,,,"Census 2022 County, pop 22477",False
COG-160515,COUNTY OF BLOUNT,AL County,BLOUNT,,,http://www.co.blount.al.us/,0,,,,,,,,,"Census 2022 County, pop 59041",False
COG-122484,COUNTY OF BULLOCK,AL County,BULLOCK,,,https://www.bullockal.com/,0,,,,,,,,,"Census 2022 County, pop 10320",False
COG-100002,COUNTY OF BUTLER,AL County,BUTLER,,,http://www.butlercountyal.com,0,,,,,,,,,"Census 2022 County, pop 18884",False
COG-122485,COUNTY OF CALHOUN,AL County,CALHOUN,,,,0,,,,,,,,,"Census 2022 County, pop 115972",False
COG-160516,COUNTY OF CHAMBERS,AL County,CHAMBERS,,,http://www.chamberscounty.com,0,,,,,,,,,"Census 2022 County, pop 34541",False
COG-122486,COUNTY OF CHEROKEE,AL County,CHEROKEE,,,,0,,,,,,,,,"Census 2022 County, pop 24996",False
COG-100004,COUNTY OF CHILTON,AL County,CHILTON,,,http://www.chiltoncounty.org,0,,,,,,,,,"Census 2022 County, pop 45274",False
COG-122487,COUNTY OF CHOCTAW,AL County,CHOCTAW,,,,0,,,,,,,,,"Census 2022 County, pop 12533",False
COG-122488,COUNTY OF CLARKE,AL County,CLARKE,,,http://www.clarkecountyal.com,0,,,,,,,,,"Census 2022 County, pop 22760",False
COG-160517,COUNTY OF CLAY,AL County,CLAY,,,http://www.claycountycommission.org,0,,,,,,,,,"Census 2022 County, pop 14190",False
COG-122489,COUNTY OF CLEBURNE,AL County,CLEBURNE,,,,0,,,,,,,,,"Census 2022 County, pop 15103",False
COG-160518,COUNTY OF COFFEE,AL County,COFFEE,,,,0,,,,,,,,,"Census 2022 County, pop 54174",False
COG-211968,COUNTY OF COLBERT,AL County,COLBERT,,,http://www.colbertcounty.org,0,,,,,,,,,"Census 2022 County, pop 57474",False
COG-100005,COUNTY OF CONECUH,AL County,CONECUH,,,,0,,,,,,,,,"Census 2022 County, pop 11328",False
COG-189542,COUNTY OF COOSA,AL County,COOSA,,,http://www.coosacountyal.com,0,,,,,,,,,"Census 2022 County, pop 10450",False
COG-160519,COUNTY OF COVINGTON,AL County,COVINGTON,,,,0,,,,,,,,,"Census 2022 County, pop 37524",False
COG-160520,COUNTY OF CRENSHAW,AL County,CRENSHAW,,,http://www.crenshawcountyalonline.com,0,,,,,,,,,"Census 2022 County, pop 13083",False
COG-122490,COUNTY OF CULLMAN,AL County,CULLMAN,,,http://www.co.cullman.al.us/,0,,,,,,,,,"Census 2022 County, pop 89496",False
COG-100006,COUNTY OF DALE,AL County,DALE,,,http://www.dalecountyal.org,0,,,,,,,,,"Census 2022 County, pop 49342",False
COG-160521,COUNTY OF DALLAS,AL County,DALLAS,,,,0,,,,,,,,,"Census 2022 County, pop 37619",False
COG-207499,COUNTY OF DE KALB,AL County,DEKALB,,,http://www.dekalbcountyal.us,0,,,,,,,,,"Census 2022 County, pop 71813",False
COG-160522,COUNTY OF ELMORE,AL County,ELMORE,,,,0,,,,,,,,,"Census 2022 County, pop 89304",False
COG-160523,COUNTY OF ESCAMBIA,AL County,ESCAMBIA,,,http://www.co.escambia.al.us,0,,,,,,,,,"Census 2022 County, pop 36699",False
COG-122491,COUNTY OF ETOWAH,AL County,ETOWAH,,,http://www.etowahcounty.org/,0,,,,,,,,,"Census 2022 County, pop 103162",False
COG-194424,COUNTY OF FAYETTE,AL County,FAYETTE,,,,0,,,,,,,,,"Census 2022 County, pop 16148",False
COG-193049,COUNTY OF FRANKLIN,AL County,FRANKLIN,,,,0,,,,,,,,,"Census 2022 County, pop 32013",False
COG-183670,COUNTY OF GENEVA,AL County,GENEVA,,,http://www.genevacounty.net/,0,,,,,,,,,"Census 2022 County, pop 26701",False
COG-160524,COUNTY OF GREENE,AL County,GREENE,,,,0,,,,,,,,,"Census 2022 County, pop 7629",False
COG-160525,COUNTY OF HALE,AL County,HALE,,,,0,,,,,,,,,"Census 2022 County, pop 14754",False
COG-160526,COUNTY OF HENRY,AL County,HENRY,,,http://www.henrycounty.org,0,,,,,,,,,"Census 2022 County, pop 17459",False
COG-122492,COUNTY OF HOUSTON,AL County,HOUSTON,,,http://www.houstoncounty.org/,0,,,,,,,,,"Census 2022 County, pop 107458",False
COG-100010,COUNTY OF JACKSON,AL County,JACKSON,,,http://www.jacksoncounty-al.us/,0,,,,,,,,,"Census 2022 County, pop 52773",False
COG-160527,COUNTY OF JEFFERSON,AL County,JEFFERSON,,,http://www.jeffconline.org/,0,,,,,,,,,"Census 2022 County, pop 667820",False
COG-207500,COUNTY OF LAMAR,AL County,LAMAR,,,,0,,,,,,,,,"Census 2022 County, pop 13689",False
COG-122493,COUNTY OF LAUDERDALE,AL County,LAUDERDALE,,,http://www.lauderdalecountyonline.com/,0,,,,,,,,,"Census 2022 County, pop 94043",False
COG-100012,COUNTY OF LAWRENCE,AL County,LAWRENCE,,,,0,,,,,,,,,"Census 2022 County, pop 33090",False
COG-160528,COUNTY OF LEE,AL County,LEE,,,,0,,,,,,,,,"Census 2022 County, pop 177218",False
COG-160529,COUNTY OF LIMESTONE,AL County,LIMESTONE,,,http://www.limestonecountyal.gov,0,,,,,,,,,"Census 2022 County, pop 107517",False
COG-160530,COUNTY OF LOWNDES,AL County,LOWNDES,,,,0,,,,,,,,,"Census 2022 County, pop 9965",False
COG-122494,COUNTY OF MACON,AL County,MACON,,,,0,,,,,,,,,"Census 2022 County, pop 18895",False
COG-160531,COUNTY OF MADISON,AL County,MADISON,,,http://www.madisoncountyal.gov,0,,,,,,,,,"Census 2022 County, pop 395211",False
COG-160532,COUNTY OF MARENGO,AL County,MARENGO,,,,0,,,,,,,,,"Census 2022 County, pop 18996",False
COG-100014,COUNTY OF MARION,AL County,MARION,,,,0,,,,,,,,,"Census 2022 County, pop 29246",False
COG-194935,COUNTY OF MARSHALL,AL County,MARSHALL,,,http://www.marshallco.org,0,,,,,,,,,"Census 2022 County, pop 98228",False
COG-160533,COUNTY OF MOBILE,AL County,MOBILE,,,http://www.mobilcountyal.gov,0,,,,,,,,,"Census 2022 County, pop 413073",False
COG-160534,COUNTY OF MONROE,AL County,MONROE,,,http://www.monroecountyonline.com,0,,,,,,,,,"Census 2022 County, pop 19648",False
COG-122495,COUNTY OF MONTGOMERY,AL County,MONTGOMERY,,,http://www.mc-ala.org/,0,,,,,,,,,"Census 2022 County, pop 227434",False
COG-160535,COUNTY OF MORGAN,AL County,MORGAN,,,http://www.co.morgan.al.us,0,,,,,,,,,"Census 2022 County, pop 123668",False
COG-160536,COUNTY OF PERRY,AL County,PERRY,,,,0,,,,,,,,,"Census 2022 County, pop 8355",False
COG-100015,COUNTY OF PICKENS,AL County,PICKENS,,,,0,,,,,,,,,"Census 2022 County, pop 18801",False
COG-189543,COUNTY OF PIKE,AL County,PIKE,,,,0,,,,,,,,,"Census 2022 County, pop 32991",False
COG-160537,COUNTY OF RANDOLPH,AL County,RANDOLPH,,,https://www.randolphcountyal.gov/,0,,,,,,,,,"Census 2022 County, pop 21989",False
COG-160538,COUNTY OF RUSSELL,AL County,RUSSELL,,,http://www.rcala.com,0,,,,,,,,,"Census 2022 County, pop 58722",False
COG-184282,COUNTY OF ST CLAIR,AL County,ST CLAIR,,,http://stclairco.com,0,,,,,,,,,"Census 2022 County, pop 92748",False
COG-122496,COUNTY OF SHELBY,AL County,SHELBY,,,http://www.shelbyal.com,0,,,,,,,,,"Census 2022 County, pop 226902",False
COG-160539,COUNTY OF SUMTER,AL County,SUMTER,,,,0,,,,,,,,,"Census 2022 County, pop 12164",False
COG-160540,COUNTY OF TALLADEGA,AL County,TALLADEGA,,,http://www.talladegacountyal.org,0,,,,,,,,,"Census 2022 County, pop 81524",False
COG-160541,COUNTY OF TALLAPOOSA,AL County,TALLAPOOSA,,,http://www.tallaco.com,0,,,,,,,,,"Census 2022 County, pop 41023",False
COG-160542,COUNTY OF TUSCALOOSA,AL County,TUSCALOOSA,,,http://www.tuscco.com/,0,,,,,,,,,"Census 2022 County, pop 227007",False
COG-122497,COUNTY OF WALKER,AL County,WALKER,,,http://www.walkercounty.com/,0,,,,,,,,,"Census 2022 County, pop 64818",False
COG-100018,COUNTY OF WASHINGTON,AL County,WASHINGTON,,,,0,,,,,,,,,"Census 2022 County, pop 15147",False
COG-160543,COUNTY OF WILCOX,AL County,WILCOX,,,,0,,,,,,,,,"Census 2022 County, pop 10446",False
COG-160544,COUNTY OF WINSTON,AL County,WINSTON,,,,0,,,,,,,,,"Census 2022 County, pop 23652",False
COG-100019,CITY OF PRATTVILLE,AL Municipal,AUTAUGA,,,http://www.prattvilleal.gov,0,,,,,,,,,"Census 2022 Municipal, pop 38286",False
COG-122498,TOWN OF AUTAUGAVILLE,AL Municipal,AUTAUGA,,,,0,,,,,,,,,"Census 2022 Municipal, pop 792",False
COG-160545,TOWN OF BILLINGSLEY,AL Municipal,AUTAUGA,,,,0,,,,,,,,,"Census 2022 Municipal, pop 126",False
COG-100020,CITY OF GULF SHORES,AL Municipal,BALDWIN,,,http://www.gulfshoresal.gov/,0,,,,,,,,,"Census 2022 Municipal, pop 15736",False
COG-122499,CITY OF BAY MINETTE,AL Municipal,BALDWIN,,,http://www.cityofbayminette.org/,0,,,,,,,,,"Census 2022 Municipal, pop 7894",False
COG-122500,CITY OF FOLEY,AL Municipal,BALDWIN,,,http://www.cityoffoley.org,0,,,,,,,,,"Census 2022 Municipal, pop 22063",False
COG-122501,TOWN OF SUMMERDALE,AL Municipal,BALDWIN,,,http://summerdalealabama.com,0,,,,,,,,,"Census 2022 Municipal, pop 1543",False
COG-122502,TOWN OF LOXLEY,AL Municipal,BALDWIN,,,http://www.townofloxley.org,0,,,,,,,,,"Census 2022 Municipal, pop 4111",False
COG-160546,CITY OF DAPHNE,AL Municipal,BALDWIN,,,http://www.daphneal.com,0,,,,,,,,,"Census 2022 Municipal, pop 28777",False
COG-160547,TOWN OF ELBERTA,AL Municipal,BALDWIN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 2015",False
COG-160548,CITY OF FAIRHOPE,AL Municipal,BALDWIN,,,http://www.cofairhope.com,0,,,,,,,,,"Census 2022 Municipal, pop 23147",False
COG-160549,TOWN OF SILVERHILL,AL Municipal,BALDWIN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1035",False
COG-160550,CITY OF ORANGE BEACH,AL Municipal,BALDWIN,,,http://www.cityoforangebeach.com,0,,,,,,,,,"Census 2022 Municipal, pop 8347",False
COG-184283,CITY OF ROBERTSDALE,AL Municipal,BALDWIN,,,http://www.robertsdale.org,0,,,,,,,,,"Census 2022 Municipal, pop 6916",False
COG-193050,CITY OF SPANISH FORT,AL Municipal,BALDWIN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 10392",False
COG-219533,TOWN OF MAGNOLIA SPRINGS,AL Municipal,BALDWIN,,,http://www.townofmagnoliasprings.org,0,,,,,,,,,"Census 2022 Municipal, pop 819",False
COG-223813,TOWN OF PERDIDO BEACH,AL Municipal,BALDWIN,,,http://www.townofperdidobeach.org,0,,,,,,,,,"Census 2022 Municipal, pop 562",False
COG-100021,CITY OF CLIO,AL Municipal,BARBOUR,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1203",False
COG-160551,TOWN OF BLUE SPRINGS,AL Municipal,BARBOUR,,,,0,,,,,,,,,"Census 2022 Municipal, pop 81",False
COG-160552,TOWN OF CLAYTON,AL Municipal,BARBOUR,,,,0,,,,,,,,,"Census 2022 Municipal, pop 2273",False
COG-160553,TOWN OF LOUISVILLE,AL Municipal,BARBOUR,,,,0,,,,,,,,,"Census 2022 Municipal, pop 391",False
COG-189544,CITY OF EUFAULA,AL Municipal,BARBOUR,,,http://www.eufaulaalabama.com,0,,,,,,,,,"Census 2022 Municipal, pop 12675",False
COG-214170,TOWN OF BAKERHILL,AL Municipal,BARBOUR,,,,0,,,,,,,,,"Census 2022 Municipal, pop 207",False
COG-100023,TOWN OF WEST BLOCTON,AL Municipal,BIBB,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1226",False
COG-122503,CITY OF CENTREVILLE,AL Municipal,BIBB,,,,0,,,,,,,,,"Census 2022 Municipal, pop 2792",False
COG-160554,CITY OF BRENT,AL Municipal,BIBB,,,http://www.cityofbrentalabama.com,0,,,,,,,,,"Census 2022 Municipal, pop 2977",False
COG-160555,TOWN OF WOODSTOCK,AL Municipal,BIBB,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1582",False
COG-100024,TOWN OF CLEVELAND,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1243",False
COG-122504,TOWN OF HAYDEN,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1332",False
COG-122505,TOWN OF ALLGOOD,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 545",False
COG-122506,TOWN OF HIGHLAND LAKE,AL Municipal,BLOUNT,,,http://www.townofhighlandlake.com,0,,,,,,,,,"Census 2022 Municipal, pop 415",False
COG-122507,TOWN OF NECTAR,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 379",False
COG-160556,TOWN OF BLOUNTSVILLE,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1827",False
COG-160557,TOWN OF SUSAN MOORE,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 789",False
COG-160558,TOWN OF SNEAD,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1026",False
COG-160559,TOWN OF ROSA,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 376",False
COG-201317,TOWN OF LOCUST FORK,AL Municipal,BLOUNT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1198",False
COG-211969,CITY OF ONEONTA,AL Municipal,BLOUNT,,,http://www.cityofoneonta.us,0,,,,,,,,,"Census 2022 Municipal, pop 6805",False
COG-160560,TOWN OF MIDWAY,AL Municipal,BULLOCK,,,,0,,,,,,,,,"Census 2022 Municipal, pop 420",False
COG-207501,CITY OF UNION SPRINGS,AL Municipal,BULLOCK,,,http://www.unionspringsalabama.com,0,,,,,,,,,"Census 2022 Municipal, pop 3314",False
COG-122508,CITY OF GREENVILLE,AL Municipal,BUTLER,,,http://www.greenville-alabama.com,0,,,,,,,,,"Census 2022 Municipal, pop 7263",False
COG-160561,CITY OF GEORGIANA,AL Municipal,BUTLER,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1315",False
