leaid,name,body_type,county,schools,enrollment,website,status,final_url,platforms,platform_links,board_pages,cms,pdf_links,note,primary_platform
3603840,Baldwin Union Free School District,School district,Nassau,7,4476,http://www.baldwinschools.org,200,https://www.baldwinschools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/baldwinschools/Board.nsf/files/DLJRW86D04A6/$file/Highlights%20From%20the%20Summer%20%20EOY%20Results%20from%202024-2025%20SY%20Summer%202025.pdf https://go.boarddocs.com/ny/baldwinschools/Board.nsf/files/DLRL3W52A9E5/$file/CapitalProjectsUpdate_Presentationat%209.10.25.p,https://www.baldwinschools.org/board-of-education/schedule-for-board-meetings https://www.baldwinschools.org/board-of-education https://www.baldwinschools.org/board-of-education/board-presentations https://www.baldwinschools.org/board-of-education/voter-ballot-information,Finalsite;SchoolMessenger,3,,BoardDocs
3604410,Bellmore Union Free School District,School district,Nassau,3,1080,http://www.bellmoreschools.org,200,https://www.bellmoreschools.org/,YouTube,,https://www.bellmoreschools.org/page/board-of-education,Apptegy/Thrillshare,0,,Not detected
3619020,Bellmore-Merrick Central High School District,School district,Nassau,5,5243,http://www.bellmore-merrick.k12.ny.us,200,https://www.bellmore-merrick.k12.ny.us/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/bellmoremerrick/Board.nsf/vpublic?open,https://www.bellmore-merrick.k12.ny.us/community-cupboard https://www.bellmore-merrick.k12.ny.us/board-of-education https://www.bellmore-merrick.k12.ny.us/board-of-education-2,SchoolMessenger;ParentSquare/Smore,17,,BoardDocs
3604740,Bethpage Union Free School District,School district,Nassau,5,2990,http://www.bethpagecommunity.com,200,https://www.bethpagecommunity.com/,Google Drive/Docs;YouTube,,https://www.bethpagecommunity.com/page/board-of-ed https://www.bethpagecommunity.com/page/board-of-education,Apptegy/Thrillshare,0,,Google Drive links
3606540,Carle Place Union Free School District,School district,Nassau,3,1264,http://www.cps.k12.ny.us,200,https://www.cps.k12.ny.us/,BoardDocs;Google Drive/Docs,,https://www.cps.k12.ny.us/page/board-of-ed-meeting-livestream-schedule-links-2627,Apptegy/Thrillshare;ParentSquare/Smore,0,,BoardDocs
3609840,East Meadow Union Free School District,School district,Nassau,9,7802,http://www.eastmeadow.k12.ny.us,0,http://www.eastmeadow.k12.ny.us,,,,,0,no response,Unreachable / blocked
3609960,East Rockaway Union Free School District,School district,Nassau,3,1153,http://www.eastrockawayschools.org,200,https://www.eastrockawayschools.org/,YouTube,,https://www.eastrockawayschools.org/agendas https://www.eastrockawayschools.org/minutes https://www.eastrockawayschools.org/meeting-schedule https://www.eastrockawayschools.org/meeting-livestream-recordings,SchoolMessenger;ParentSquare/Smore,458,,PDFs on own site
3610050,East Williston Union Free School District,School district,Nassau,3,1609,http://www.ewsdonline.org,,,,,,,0,robots.txt disallows,Unreachable / blocked
3610620,Elmont Union Free School District,School district,Nassau,6,3394,http://www.elmontschools.org,200,https://www.elmontschools.org/,BoardDocs;YouTube,"https://go.boarddocs.com/ny/elmont/Board.nsf/files/DTURJX6E48E8/$file/April 28, 2026 - Special Meeting of the Board of Education.pdf https://go.boarddocs.com/ny/elmont/Board.nsf/files/DTVQWT6B56BD/$file/April 14, 2026 - Regular Meeting of the Board of Education.pdf",https://www.elmontschools.org/meeting-dates https://www.elmontschools.org/school-board https://www.elmontschools.org/board-of-education,SchoolMessenger;ParentSquare/Smore,175,,BoardDocs
3610980,Farmingdale Union Free School District,School district,Nassau,6,5251,http://www.farmingdaleschools.org,200,https://www.farmingdaleschools.org/,Google Drive/Docs;YouTube,,https://www.farmingdaleschools.org/boe-goals https://www.farmingdaleschools.org/boe-policies https://www.farmingdaleschools.org/board-of-education https://www.farmingdaleschools.org/board-of-education-2,SchoolMessenger;ParentSquare/Smore,0,,Google Drive links
3611160,Floral Park-Bellerose Union Free School District,School district,Nassau,2,1597,http://www.fpbsd.org,,,,,,,0,robots.txt disallows,Unreachable / blocked
