name,county,enrollment,platform,board_page_url,website
Brentwood Union Free School District,Suffolk,18323,PDFs on own site,https://www.bufsd.org/board-of-education/board-meetings,http://www.brentwood.k12.ny.us
Half Hollow Hills Central School District,Suffolk,7317,Google Drive links,https://www.hhh.k12.ny.us/district/board-of-education,http://www.halfhollowhills.k12.ny.us
Massapequa Union Free School District,Nassau,6536,Google Drive links,https://www.msd.k12.ny.us/page/boe-meeting-live-stream,http://www.msd.k12.ny.us
South Huntington Union Free School District,Suffolk,5849,Google Drive links,,http://www.shufsd.org
Commack Union Free School District,Suffolk,5590,PDFs on own site,https://commack.k12.ny.us/agenda,http://commack.k12.ny.us
Farmingdale Union Free School District,Nassau,5251,Google Drive links,https://www.farmingdaleschools.org/boe-goals,http://www.farmingdaleschools.org
Herricks Union Free School District,Nassau,4258,Google Drive links,https://www.herricks.org/board-of-education/board-meeting-dates-and-livestream-links,http://www.herricks.org
Deer Park Union Free School District,Suffolk,4050,PDFs on own site,https://www.deerparkschools.org/agenda-and-minutes,http://www.deerparkschools.org
West Islip Union Free School District,Suffolk,3913,PDFs on own site,https://www.wi.k12.ny.us/boe,http://www.wi.k12.ny.us
Long Beach City School District,Nassau,3590,PDFs on own site,https://www.lbeach.org/boe-meeting-videos,http://www.lbeach.org
Roslyn Union Free School District,Nassau,3301,Google Drive links,https://www.roslynschools.org/board-of-education/board-meeting-schedule,http://www.roslynschools.org
Hauppauge Union Free School District,Suffolk,3224,Google Drive links,https://www.hauppauge.k12.ny.us/o/hufsd/page/about-the-board-of-education,http://www.hauppauge.k12.ny.us
Glen Cove City School District,Nassau,3214,Google Drive links,https://www.glencoveschools.org/board-of-education/boe-meeting-dates,http://www.glencoveschools.org
Bethpage Union Free School District,Nassau,2990,Google Drive links,https://www.bethpagecommunity.com/page/board-of-ed,http://www.bethpagecommunity.com
Wantagh Union Free School District,Nassau,2905,PDFs on own site,https://www.wantaghschools.org/boe,http://www.wantaghschools.org
Mineola Union Free School District,Nassau,2868,PDFs on own site,https://www.mineola.k12.ny.us/board-policies,http://www.mineola.k12.ny.us
Rocky Point Union Free School District,Suffolk,2721,PDFs on own site,https://www.rockypointufsd.org/boe,http://www.rockypointschools.org
Kings Park Central School District,Suffolk,2698,PDFs on own site,https://www.kpcsd.org/audit-committee-agendas,http://www.kpcsd.org
Miller Place Union Free School District,Suffolk,2343,PDFs on own site,https://www.millerplace.k12.ny.us/board-of-education/board-meeting-minutes,http://www.millerplace.k12.ny.us
Mount Sinai Union Free School District,Suffolk,2076,PDFs on own site,https://www.mtsinai.k12.ny.us/56121_2,http://www.mtsinai.k12.ny.us
North Bellmore Union Free School District,Nassau,2046,PDFs on own site,https://www.northbellmoreschools.org/boe-meeting-dates,http://www.northbellmoreschools.org
Locust Valley Central School District,Nassau,1920,Google Drive links,,http://www.locustvalleyschools.org
Academy Charter School,Nassau,1880,PDFs on own site,https://academycharterschool.org/reports/,http://www.academycharterschool.org
Westhampton Beach Union Free School District,Suffolk,1767,PDFs on own site,https://www.whbschools.org/archived-meeting-agendas-and-minute,http://www.whbschools.org
Merrick Union Free School District,Nassau,1664,PDFs on own site,https://www.merrick.k12.ny.us/board-of-education,http://www.merrick.k12.ny.us
Cold Spring Harbor Central School District,Suffolk,1570,Google Drive links,https://www.csh.k12.ny.us/bo/boe-meeting-presentations,http://www.csh.k12.ny.us
Academy Charter School-Uniondale,Nassau,1272,PDFs on own site,https://academycharterschool.org/reports/,http://www.academycharterschool.org
East Rockaway Union Free School District,Nassau,1153,PDFs on own site,https://www.eastrockawayschools.org/agendas,http://www.eastrockawayschools.org
Bellmore Union Free School District,Nassau,1080,PDFs on own site,https://www.bellmoreschools.org/documents/district/board-of-education/agendas-and-minutes/2025-26/21433411,http://www.bellmoreschools.org
Riverhead Charter School,Suffolk,823,PDFs on own site,https://riverheadcharterschool.org/title-i-parent-meetings/,http://www.riverheadcharterschool.org
Southold Union Free School District,Suffolk,697,Google Drive links,,http://www.southoldufsd.com
Montauk Union Free School District,Suffolk,305,Google Drive links,,http://www.montaukschool.org
Tuckahoe Common School District,Suffolk,255,PDFs on own site,https://www.tuckahoecommonsd.com/board-of-trustee-meeting-schedule,http://www.tuckahoecommonsd.com
Bridgehampton Union Free School District,Suffolk,198,Google Drive links,,http://www.bridgehampton.k12.ny.us
Shelter Island Union Free School District,Suffolk,176,PDFs on own site,https://www.shelterisland.k12.ny.us/board-of-education/meeting-videos,http://www.shelterisland.k12.ny.us
Academy Charter School 2 (The),Suffolk,144,PDFs on own site,,http://academycharterschool.org/wyandanchschool/
Remsenburg-Speonk Union Free School District,Suffolk,123,Google Drive links,https://www.rsufsd.org/boepolicies,http://www.rsufsd.org
Oysterponds Union Free School District,Suffolk,80,PDFs on own site,https://www.oysterponds.org/board-of-education,http://www.oysterponds.org
Fire Island Union Free School District,Suffolk,34,PDFs on own site,,http://www.fi.k12.ny.us
Wainscott Common School District,Suffolk,26,PDFs on own site,https://wainscottschool.org/minutes-and-agendas/,http://www.wainscottschool.org
Little Flower Union Free School District,Suffolk,9,PDFs on own site,https://www.littleflowerufsd.org/board-of-education/board-meeting-minutes,http://www.littleflowerufsd.org
Sagaponack Common School District,Suffolk,5,PDFs on own site,https://sagaponackschool.org/school-board-meetings/,http://www.sagaponackschool.com
Eastern Suffolk Boces,Suffolk,,Google Drive links,https://www.esboces.org/programs-services/ess/school-library-system/liaisonprogram-meetings,http://www.esboces.org
Western Suffolk Boces,Suffolk,,PDFs on own site,https://www.wsboces.org/agendas-minutes/,http://www.wsboces.org
