rank,name,county,enrollment,blocker_code,website,known_so_far,board_page_url,platform,manual_notes
1,East Meadow Union Free School District,Nassau,7802,PLATFORM_URL_MISSING,https://eastmeadowschoolsny.sites.thrillshare.com,"BoardDocs | Found by web search 2026-09-20. Registry URL is dead, district moved sites. Board page states BoardDocs is used. BoardDocs address not yet captured",,,
2,Freeport Union Free School District,Nassau,6469,NOT_DETECTED,http://www.freeportschools.org,2 possible doc links at https://www.freeportschools.org/nysed-parent-dashboard,,,
3,Bay Shore Union Free School District,Suffolk,5854,ROBOTS_DISALLOW,http://www.bayshoreschools.org,,,,
4,Three Village Central School District,Suffolk,5717,ROBOTS_DISALLOW,http://www.threevillagecsd.org,,,,
5,Riverhead Central School District,Suffolk,5688,BOT_CHALLENGE,http://www.riverhead.net,,,,
6,Valley Stream Central High School District,Nassau,4714,BOT_CHALLENGE,http://www.vschsd.org,,,,
7,Northport-East Northport Union Free School District,Suffolk,4572,ROBOTS_DISALLOW,http://www.northport.k12.ny.us,,,,
8,Lynbrook Union Free School District,Nassau,2764,NOT_DETECTED,http://www.lynbrookschools.org,2 possible doc links at https://www.lynbrookschools.org/nysed-parent-data-dashboard,,,
9,Lawrence Union Free School District,Nassau,2306,NOT_DETECTED,http://www.lawrence.org,,,,
10,Valley Stream 13 Union Free School District,Nassau,2026,BOT_CHALLENGE,http://valleystream13.com/,,,,
11,Elwood Union Free School District,Suffolk,1998,BOT_CHALLENGE,http://www.elwood.k12.ny.us,,,,
12,Malverne Union Free School District,Nassau,1848,NOT_DETECTED,http://www.malverne.k12.ny.us,,,,
13,East Williston Union Free School District,Nassau,1609,ROBOTS_DISALLOW,http://www.ewsdonline.org,,,,
14,Floral Park-Bellerose Union Free School District,Nassau,1597,ROBOTS_DISALLOW,http://www.fpbsd.org,,,,
15,Oyster Bay-East Norwich Central School District,Nassau,1400,PLATFORM_URL_MISSING,http://www.obenschools.org,BoardDocs | District site states it uses BoardDocs since Feb 2022. BoardDocs address not yet captured,,,
16,Southampton Union Free School District,Suffolk,1340,NOT_DETECTED,http://www.southamptonschools.org,1 possible doc links at https://www.southamptonschools.org/62252_2,,,
17,North Merrick Union Free School District,Nassau,1214,NOT_DETECTED,http://www.nmerrickschools.org,,,,
18,Evergreen Charter School,Nassau,966,BOT_CHALLENGE,http://ecsli.org,,,,
19,Roosevelt Children'S Academy Charter School,Nassau,730,NOT_DETECTED,http://www.rcacs.org,,,,
20,Springs Union Free School District,Suffolk,688,ROBOTS_DISALLOW,http://www.springsschool.org,,,,
21,East Moriches Union Free School District,Suffolk,649,NOT_DETECTED,http://www.emoschools.org,,,,
22,Amagansett Union Free School District,Suffolk,125,NOT_DETECTED,http://www.aufsd.org,,,,
23,Quogue Union Free School District,Suffolk,84,NO_RESPONSE,http://www.quogueschool.com,,,,
24,New Suffolk Common School District,Suffolk,7,NOT_DETECTED,http://www.newsuffolkschool.com,,,,
