date,level_0,level_1,level_2,level_3,level_4,level_5,level_3_plus
initial,299,556,2,169,0,0,169
2026-09-20,299,556,2,168,1,0,169
2026-09-20,299,556,2,167,2,0,169
2026-09-20,299,556,2,166,3,0,169
2026-09-20,299,556,2,166,2,1,169
2026-09-20,299,556,2,166,1,2,169
2026-09-20,299,556,2,166,0,3,169
2026-09-20,299,556,2,166,1,2,169
2026-09-20,299,556,2,166,2,1,169
2026-09-20,299,556,2,166,3,0,169
2026-09-22,299,556,2,165,4,0,169
2026-09-22,299,556,2,164,5,0,169
2026-09-22,299,556,2,163,6,0,169
2026-09-22,299,556,2,162,7,0,169
2026-09-22,299,556,2,161,8,0,169
2026-09-22,299,556,2,160,9,0,169
2026-09-22,299,556,2,159,10,0,169
2026-09-22,299,556,2,158,11,0,169
2026-09-22,299,556,2,157,12,0,169
2026-09-22,299,556,2,156,13,0,169
2026-09-22,299,556,2,155,14,0,169
2026-09-22,299,556,2,154,15,0,169
2026-09-22,299,556,2,153,16,0,169
2026-09-22,299,556,2,153,15,1,169
2026-09-22,299,556,2,153,14,2,169
2026-09-22,299,556,2,153,13,3,169
2026-09-22,299,556,2,153,12,4,169
2026-09-22,299,556,2,153,11,5,169
2026-09-22,299,556,2,153,10,6,169
2026-09-22,299,556,2,153,9,7,169
2026-09-22,299,556,2,153,8,8,169
2026-09-22,299,556,2,153,7,9,169
2026-09-22,299,556,2,153,6,10,169
2026-09-22,299,556,2,153,5,11,169
