body,body_id,building,trades,stage,stage_verified,dollar_amount,funding_source,scope_summary,evidence_quote,source_url,meeting_date,in_window
West Islip Union Free School District,NCES-3630690,,maintenance_services,1_problem,False,3800,operating budget,Additional payments to Suffolk County Water Authority for water and grounds maintenance.,Transfer for additional payments for Suffolk County Water Authority,https://files.smartsites.parentsquare.com/6796/8-25-26_rm_agenda_for_posting_revised.pdf,2026-08-25,True
West Islip Union Free School District,NCES-3630690,Beach Street MS,site_athletics,1_problem,False,,unknown,Irrigation systems on athletic fields need attention or upgrade.,Irrigation systems on fields,https://files.smartsites.parentsquare.com/6796/110325_b_g_agenda_11-3-25.pdf,2025-11-03,True
West Islip Union Free School District,NCES-3630690,,site_athletics,1_problem,False,,unknown,Pool facility renovation project is being discussed.,Pool renovation project,https://files.smartsites.parentsquare.com/6796/110325_b_g_agenda_11-3-25.pdf,2025-11-03,True
West Islip Union Free School District,NCES-3630690,Masera,life_safety_security,1_problem,False,,unknown,Exterior AED installation or replacement at Masera facility.,Masera AED (exterior),https://files.smartsites.parentsquare.com/6796/110325_b_g_agenda_11-3-25.pdf,2025-11-03,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,plumbing,1_problem,False,,unknown,Pool renovation work needed.,Pool renovation project,https://files.smartsites.parentsquare.com/6796/100325_b_g_agenda_10-7-25_1.pdf,2025-10-07,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,site_athletics,1_problem,False,,unknown,"Irrigation systems on fields used by WI Soccer Club, with possible partial donation.",Irrigation systems on fields that WI Soccer Club uses – possible partial donation,https://files.smartsites.parentsquare.com/6796/100325_b_g_agenda_10-7-25_1.pdf,2025-10-07,True
West Islip Union Free School District,NCES-3630690,Manetuck,plumbing,1_problem,False,,unknown,Underground pipe leak reported as new insurance claim.,New: Manetuck underground pipe leak,https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,High School,electrical_lighting,1_problem,False,,unknown,Electrical outage and damaged PV cabinet reported as new insurance claim.,New: High School electrical outage and damaged PV Cabinet,https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,High School,plumbing,1_problem,False,,unknown,Flooding damage from frozen pipes reported as insurance claim.,"High School ""Superbowl"" flood due to frozen pipes",https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,Beach MS and PJ Bellew,energy,1_problem,False,,unknown,Solar PV system fire damage at two buildings reported as insurance claim.,Solar PV system fire damage at Beach MS and PJ Bellew,https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,District Office,plumbing,1_problem,False,,unknown,Plumbing flood damage reported as insurance claim.,District Office plumbing flood,https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,High School,general_construction,1_problem,False,,unknown,Pool renovation project at high school.,Items reviewed included high school pool renovation,https://files.smartsites.parentsquare.com/6796/060126_05-07-26_rm_final.pdf,2026-05-07,True
West Islip Union Free School District,NCES-3630690,District,hvac_mechanical,1_problem,False,,unknown,Building heating systems reviewed at Buildings and Grounds Committee meeting.,Items reviewed included high school pool renovation; solar panel insurance claims; district office flood repairs; building heating systems.,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,District office,hvac_mechanical,1_problem,False,,unknown,Building heating systems need attention across the district.,Items reviewed included high school pool renovation; solar panel insurance claims; district office flood repairs; building heating systems.,https://files.smartsites.parentsquare.com/6796/030526-02-05-26_rm_final_for_posting.pdf,2026-02-05,True
West Islip Union Free School District,NCES-3630690,District Office,plumbing,1_problem,False,,insurance,Plumbing flood damage at district office.,District Office plumbing flood,https://files.smartsites.parentsquare.com/6796/020226_b_g_agenda_2-3-26_jb_draft.pdf,2026-02-03,True
West Islip Union Free School District,NCES-3630690,,hvac_mechanical,1_problem,False,,unknown,General heating repair issues across district.,General Heating Repair Issues,https://files.smartsites.parentsquare.com/6796/020226_b_g_agenda_2-3-26_jb_draft.pdf,2026-02-03,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,general_construction,1_problem,False,,unknown,Pool reconstruction project under discussion by buildings and grounds committee.,Pool Reconstruction,https://files.smartsites.parentsquare.com/6796/010526_b_g_agenda_1-6-26_jb_draft.pdf,2026-01-06,True
West Islip Union Free School District,NCES-3630690,Manetuck and Udall Road,site_athletics,1_problem,False,,unknown,Sprinkler systems at soccer fields under committee review,sprinkler systems at Manetuck and Udall Road's soccer fields,https://files.smartsites.parentsquare.com/6796/052026_5-19-26_sm_agenda_for_posting_revised.pdf,2026-05-19,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,site_athletics,1_problem,False,,unknown,High school fields require bathroom access improvements.,High School fields - bathroom access,https://files.smartsites.parentsquare.com/6796/090426-b_g_agenda_9-8-26_jb-1.pdf,2026-09-08,True
West Islip Union Free School District,NCES-3630690,,site_athletics,1_problem,False,,unknown,Pool renovation project identified for discussion.,Pool renovation project,https://files.smartsites.parentsquare.com/6796/110325_b_g_agenda_11-3-25.pdf,2025-11-03,True
West Islip Union Free School District,NCES-3630690,,site_athletics,1_problem,False,,unknown,Irrigation systems on fields under discussion.,Irrigation systems on fields,https://files.smartsites.parentsquare.com/6796/110325_b_g_agenda_11-3-25.pdf,2025-11-03,True
West Islip Union Free School District,NCES-3630690,Masera,life_safety_security,1_problem,False,,unknown,Exterior AED installation or upgrade at Masera building.,Masera AED (exterior),https://files.smartsites.parentsquare.com/6796/110325_b_g_agenda_11-3-25.pdf,2025-11-03,True
Deer Park Union Free School District,NCES-3608880,Deer Park High School,roofing,1_problem,False,,operating budget,Roof leak has caused damage to ceilings in several classrooms requiring emergency repair.,a roof leak has caused damage to the ceilings in several classrooms,https://files.smartsites.parentsquare.com/12897/082626_july292026-special_meeting_minutes.pdf,2026-07-29,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,general_construction,1_problem,False,,unknown,Pool renovation project needs assessment and planning.,Pool renovation project,https://files.smartsites.parentsquare.com/6796/100325_b_g_agenda_10-7-25_1.pdf,2025-10-07,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,site_athletics,1_problem,False,,unknown,"Irrigation systems on fields used by WI Soccer Club, possibly with partial donation.",Irrigation systems on fields that WI Soccer Club uses – possible partial donation,https://files.smartsites.parentsquare.com/6796/100325_b_g_agenda_10-7-25_1.pdf,2025-10-07,True
Deer Park Union Free School District,NCES-3608880,Board Room,electrical_lighting,1_problem,False,,unknown,Additional TV screens installed in Board Room for presentations and professional development.,additional TV screens in the Board Room for better viewing of presentations,https://files.smartsites.parentsquare.com/12897/may_12_2026_1.pdf,2026-05-12,True
West Islip Union Free School District,NCES-3630690,high school,general_construction,1_problem,False,,unknown,High school pool renovation identified as a topic reviewed by Buildings and Grounds Committee,Items reviewed included high school pool renovation,https://files.smartsites.parentsquare.com/6796/060126_05-07-26_rm_final.pdf,2026-05-07,True
